"","branch_office","device_mac","year_tz","month_tz","day_tz","Escolarida","NSE_Manzan"
"1",1,"08:74:02:b1:57:1d",2016,11,12,"Preparatoria","Cmenos"
"2",1,"08:74:02:b1:57:1d",2016,11,12,"Preparatoria","Cmas"
"3",1,"08:74:02:b1:57:1d",2016,11,12,"Licenciatura","AB"
"4",1,"08:74:02:b1:57:1d",2016,11,12,"Licenciatura","Cmas"
"5",1,"08:74:02:b1:57:1d",2016,11,12,"Preparatoria","C"
"6",1,"08:74:02:b1:57:1d",2016,11,12,"Preparatoria","Dmas"
"7",1,"08:74:02:b1:57:1d",2016,11,12,"Preparatoria","C"
"8",1,"a0:8d:16:62:5d:62",2016,11,11,"Licenciatura","Cmas"
"9",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","Cmenos"
"10",1,"a0:8d:16:62:5d:62",2016,11,11,"Licenciatura","Cmas"
"11",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","Cmenos"
"12",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","C"
"13",1,"a0:8d:16:62:5d:62",2016,11,11,"Licenciatura","AB"
"14",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","Cmenos"
"15",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","Dmas"
"16",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","D"
"17",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","C"
"18",1,"a0:8d:16:62:5d:62",2016,11,11,"Preparatoria","Dmas"
"19",1,"a4:70:d6:c4:4d:b6",2016,11,11,"Licenciatura","C"
"20",1,"a4:70:d6:c4:4d:b6",2016,11,11,"Licenciatura","Cmas"
"21",1,"a4:70:d6:c4:4d:b6",2016,11,11,"Preparatoria","Cmenos"
"22",1,"a4:70:d6:c4:4d:b6",2016,11,11,"Licenciatura","Cmas"
"23",1,"ec:1f:72:49:d5:47",2016,11,11,"Preparatoria","Cmenos"
"24",1,"ec:1f:72:49:d5:47",2016,11,11,"Preparatoria","Cmas"
"25",1,"ec:1f:72:49:d5:47",2016,11,11,"Licenciatura","AB"
"26",1,"ec:1f:72:49:d5:47",2016,11,11,"Licenciatura","Cmas"
"27",1,"ec:1f:72:49:d5:47",2016,11,11,"Preparatoria","C"
"28",1,"ec:1f:72:49:d5:47",2016,11,11,"Preparatoria","Dmas"
"29",1,"ec:1f:72:49:d5:47",2016,11,11,"Preparatoria","C"
"30",2,"40:0e:85:2d:7f:70",2016,11,11,"Preparatoria","C"
"31",2,"50:9e:a7:12:fc:60",2016,11,12,"Licenciatura","Cmas"
"32",2,"50:9e:a7:12:fc:60",2016,11,12,"Licenciatura","Cmas"
"33",2,"50:9e:a7:12:fc:60",2016,11,12,"Preparatoria","C"
"34",2,"50:9e:a7:12:fc:60",2016,11,12,"Preparatoria","C"
"35",2,"50:9e:a7:12:fc:60",2016,11,12,"Licenciatura","Cmas"
"36",2,"80:01:84:5e:4d:0a",2016,11,11,"Licenciatura","Cmas"
"37",2,"80:01:84:5e:4d:0a",2016,11,11,"Licenciatura","Cmas"
"38",2,"80:01:84:5e:4d:0a",2016,11,11,"Preparatoria","C"
"39",2,"80:01:84:5e:4d:0a",2016,11,11,"Preparatoria","C"
"40",2,"80:01:84:5e:4d:0a",2016,11,11,"Licenciatura","Cmas"
"42",3,"8c:0c:90:52:dd:68",2016,11,11,"Preparatoria","Dmas"
"43",3,"8c:0c:90:52:dd:68",2016,11,11,"Licenciatura","AB"
"44",3,"8c:0c:90:52:dd:68",2016,11,11,"Licenciatura","Cmas"
"49",1,"00:0c:e7:77:90:d4",2016,11,11,"Licenciatura","C"
"50",1,"00:0c:e7:77:90:d4",2016,11,11,"Licenciatura","Cmas"
"51",1,"00:0c:e7:77:90:d4",2016,11,11,"Preparatoria","Cmenos"
"52",1,"00:0c:e7:77:90:d4",2016,11,11,"Licenciatura","Cmas"
"53",1,"80:6c:1b:7a:c1:b2",2016,11,12,"Licenciatura","Cmas"
"54",1,"dc:cf:96:17:a0:68",2016,11,12,"Preparatoria","Cmenos"
"55",1,"dc:cf:96:17:a0:68",2016,11,12,"Licenciatura","AB"
"56",1,"f0:b4:79:ac:a7:30",2016,11,11,"Preparatoria","Cmenos"
"57",1,"f0:b4:79:ac:a7:30",2016,11,11,"Preparatoria","C"
