"","rf"
"1","false"
"2","true"
"3","false"
"4","false"
"5","false"
"6","false"
"7","false"
"8","false"
"9","false"
"10","true"
"11","true"
"12","true"
"13","false"
"14","false"
"15","false"
"16","false"
"17","false"
"18","false"
"19","false"
"20","false"
"21","false"
"22","true"
"23","false"
"24","true"
"25","false"
"26","false"
"27","false"
"28","false"
"29","false"
"30","false"
"31","false"
"32","false"
"33","false"
"34","false"
"35","false"
"36","false"
"37","true"
"38","false"
"39","false"
"40","false"
"41","true"
"42","false"
"43","false"
"44","false"
"45","false"
"46","false"
"47","false"
"48","false"
"49","false"
"50","false"
"51","false"
"52","false"
"53","false"
"54","true"
"55","false"
"56","false"
"57","false"
"58","false"
"59","true"
"60","false"
"61","false"
"62","false"
"63","true"
"64","true"
"65","false"
"66","false"
"67","false"
"68","false"
"69","false"
"70","false"
"71","false"
"72","false"
"73","false"
"74","false"
"75","true"
"76","false"
"77","false"
"78","false"
"79","false"
"80","false"
"81","false"
"82","false"
"83","true"
"84","false"
"85","false"
"86","true"
"87","true"
"88","false"
"89","false"
"90","false"
"91","false"
"92","false"
"93","false"
"94","false"
"95","false"
"96","false"
"97","true"
"98","false"
"99","false"
"100","false"
"101","false"
"102","false"
"103","false"
"104","true"
"105","false"
"106","false"
"107","true"
"108","false"
"109","false"
"110","false"
"111","false"
"112","true"
"113","false"
"114","false"
"115","false"
"116","false"
"117","false"
"118","false"
"119","true"
"120","false"
"121","false"
"122","false"
"123","false"
"124","true"
"125","false"
"126","false"
"127","false"
"128","false"
"129","false"
"130","false"
"131","false"
"132","false"
"133","false"
"134","false"
"135","false"
"136","false"
"137","true"
"138","false"
"139","false"
"140","false"
"141","false"
"142","false"
"143","false"
"144","false"
"145","false"
"146","false"
"147","false"
"148","false"
"149","false"
"150","true"
"151","true"
"152","false"
"153","false"
"154","false"
"155","false"
"156","false"
"157","false"
"158","false"
"159","true"
"160","true"
"161","false"
"162","false"
"163","true"
"164","false"
"165","false"
"166","true"
"167","false"
"168","false"
"169","false"
"170","false"
"171","false"
"172","false"
"173","true"
"174","false"
"175","false"
"176","false"
"177","false"
"178","false"
"179","false"
