"","rf"
"index_1",256.001835315424
"index_2",4340.61075986583
"index_3",447.975900494347
"index_4",538.04753063487
"index_5",636.796351994021
"index_6",648.531357829742
"index_7",3832.48417431998
"index_8",540.596044937162
"index_9",145.602919871726
"index_10",4056.99151418639
"index_11",5952.34143487941
"index_12",9922.88877366068
"index_13",264.526382817778
"index_14",4233.08052913845
"index_15",315.219275477701
"index_16",766.88264985577
"index_17",361.083604079974
"index_18",422.070370154435
"index_19",395.781639973771
"index_20",331.201090814586
"index_21",331.201090814586
"index_22",4218.13952314829
"index_23",376.16426033723
"index_24",5247.95454082969
"index_25",422.070370154435
"index_26",307.121766669835
"index_27",626.088589154231
"index_28",331.201090814586
"index_29",4771.75548153267
"index_30",4539.82366232357
"index_31",331.201090814586
"index_32",331.201090814586
"index_33",431.864835863736
"index_34",395.781639973771
"index_35",653.322432937004
"index_36",4121.08183417452
"index_37",4993.75013808302
"index_38",331.201090814586
"index_39",763.878087910779
"index_40",96.7788005491122
"index_41",4080.86816776693
"index_42",3628.41897925421
"index_43",486.539360847187
"index_44",331.201090814586
"index_45",315.219275477701
"index_46",315.219275477701
"index_47",540.596044937162
"index_48",636.796351994021
"index_49",648.531357829742
"index_50",486.539360847187
"index_51",4233.08052913845
"index_52",1009.07880441674
"index_53",714.4419509101
"index_54",3777.30829935239
"index_55",331.201090814586
"index_56",361.083604079974
"index_57",636.796351994021
"index_58",361.083604079974
"index_59",3543.83803977654
"index_60",264.526382817778
"index_61",585.691160734889
"index_62",3843.31340490898
"index_63",8365.81407447071
"index_64",8941.81857624881
"index_65",462.299951580935
"index_66",763.878087910779
"index_67",3843.31340490898
"index_68",315.219275477701
"index_69",422.070370154435
"index_70",146.166647559676
"index_71",431.864835863736
"index_72",264.526382817778
"index_73",538.04753063487
"index_74",462.299951580935
"index_75",8157.60452469016
"index_76",372.830202174384
"index_77",636.796351994021
"index_78",145.602919871726
"index_79",486.539360847187
"index_80",540.596044937162
"index_81",482.239536972439
"index_82",714.679522581347
"index_83",7638.61896460264
"index_84",431.864835863736
"index_85",4771.75548153267
"index_86",3543.83803977654
"index_87",5952.34143487941
"index_88",576.090598603173
"index_89",766.88264985577
"index_90",4771.75548153267
"index_91",482.239536972439
"index_92",486.539360847187
"index_93",307.121766669835
"index_94",630.163506548589
"index_95",264.526382817778
"index_96",326.894857779639
"index_97",5247.95454082969
"index_98",566.322881802962
"index_99",141.372078834142
"index_100",447.975900494347
"index_101",4771.75548153267
"index_102",1003.77058656997
"index_103",361.083604079974
"index_104",4080.86816776693
"index_105",361.083604079974
"index_106",626.088589154231
"index_107",3887.88254416815
"index_108",326.894857779639
"index_109",675.91967037966
"index_110",3832.48417431998
"index_111",3843.31340490898
"index_112",6512.98257960595
"index_113",714.4419509101
"index_114",486.539360847187
"index_115",96.7788005491122
"index_116",675.91967037966
"index_117",4060.64745637796
"index_118",431.18766498472
"index_119",5574.50570042469
"index_120",264.526382817778
"index_121",395.781639973771
"index_122",3832.48417431998
"index_123",4771.75548153267
"index_124",4691.72063990424
"index_125",714.4419509101
"index_126",326.894857779639
"index_127",264.526382817778
"index_128",361.083604079974
"index_129",326.894857779639
"index_130",376.16426033723
"index_131",653.322432937004
"index_132",395.781639973771
"index_133",4233.08052913845
"index_134",4141.19466446578
"index_135",714.679522581347
"index_136",648.531357829742
"index_137",3543.83803977654
"index_138",145.602919871726
"index_139",648.531357829742
"index_140",538.04753063487
"index_141",540.596044937162
"index_142",361.083604079974
"index_143",825.676755628908
"index_144",3843.31340490898
"index_145",825.676755628908
"index_146",307.121766669835
"index_147",264.526382817778
"index_148",1003.77058656997
"index_149",538.04753063487
"index_150",7687.43713063181
"index_151",6512.98257960595
"index_152",953.802401219198
"index_153",675.91967037966
"index_154",331.201090814586
"index_155",265.880623649714
"index_156",372.830202174384
"index_157",264.526382817778
"index_158",326.894857779639
"index_159",3543.83803977654
"index_160",3777.30829935239
"index_161",486.539360847187
"index_162",315.219275477701
"index_163",4218.13952314829
"index_164",605.765701023438
"index_165",482.239536972439
"index_166",10142.103520233
"index_167",566.322881802962
"index_168",648.531357829742
"index_169",141.372078834142
"index_170",331.201090814586
"index_171",336.330500756103
"index_172",315.219275477701
"index_173",5652.53732172634
"index_174",675.91967037966
